,ADK1_FO12_5,ARK1_BA,ARK1_F_BA,AVO1_FO12_5,BCK1_EDBA,BCK1_FODBA,BW25113_Ecoli_FO12_5,BW25113_Ecoli_S12_5,BW25113_S27_9,CAK1_FO12_5,CBK1_FO12_5,CCL1_FO12_5,CDC14_FO12_5,CDC15_FO12_5,CDC28_FO12_5,CDC28_het_F_BA,CDC28_he_BA,cdc34_FO12_5,cdc4_FO12_5,cdc53_FO12_5,CDC5_FO12_5,CDC7_FO12_5,CKA2_BA,CKI1_BA,CKI1_F_BA,CKS1_FO12_5,CLN2_EDBA,CLN2_FODBA,DAK1_BA,DAK1_F_BA,DBF20_FO12_5,DBF2_BA,DBF2_F_BA,DBF4_FO12_5,DUN1_FO12_5,ELM1_BA,ELM1_F_BA,FAB1_BA,FAB1_F_BA,FAR1_BA,FAR1_F_BA,FCP1_FO12_5,FMP48_EDBA,FMP48_FODBA,GLC7_BA,GLC7_F_BA,HOG1_EDBA,HOG1_FODBA,HRR25_het_F_BA,HRR25_he_BA,HSL1_BA,HSL1_F_BA,ILV3_F12_9,ILV3_S12_9,IPL1_FO12_5,IRE1_EDBA,IRE1_FODBA,ISR1_FO12_5,J_WT_Gal_FO12_5,J_WT_Gluc_FO12_5,KIN28_FO12_5,KSP1_EDBA,KSP1_FODBA,KSS1_het_F_BA,KSS1_he_BA,LST8_FO12_5,MCK1_BA,MCK1_F_BA,MEC1_FO12_5,MG1655_Ecoli_FO12_5,MG1655_Ecoli_S12_5,MG1655_S27_9,MKK1_EDBA,MKK1_FODBA,MPS1_FO12_5,NNK1_FODBA,NPR1_EDBA,NPR1_FODBA,PBS2_FO12_5,pdryCG196log_FODBA,pdryCG196_FODBA,pdryCG200_FODBA,PFK27_BA,PFK27_F_BA,PFK2_BA,PFK2_F_BA,PHO85_het_F_BA,PHO85_he_BA,PKC1_FO12_5,PRR2_BA,PRR2_F_BA,RAD53_het_F_BA,RAD53_he_BA,RIO1_EDBA,RIO1_FODBA,RIO2_FODBA,SCD5_FO12_5,SCH9_F12_9,SCH9_S12_9,Sc_mata_F12_9,Sc_mata_S12_9,SDS22_FO12_5,SFP1_F12_9,SFP1_S12_9,SLN1_FO12_5,SLT2_EDBA,SLT2_FODBA,SNF1_het_F_BA,SNF1_he_BA,SSU72_FO12_5,TOR1_EDBA,TOR1_FODBA,Tor1_GFP_BA,Tor1_GFP_F_BA,TOR2_EDBA,TOR2_FODBA,Tor2_GFP_F_BA,Tor2_GF_BA,TSCII_FO12_5,WT-TB50_BA,WT-TB50_F_BA,WtandRap_BA,WtandRap_F_BA,WTScer1448log_EDBA,WTScer1448log_FODBA,WTScer1448_EDBA,WTScer1448_FODBA,WTScer1450_FODBA,WT_hetdip_FO12_5,WT_mata_FO12_5,WT_pombe_FO12_5,YCK3_BA,YNK1_BA,YNK1_F_BA,YPI1_FO12_5
AW 00255,0.362095,-0.306908,0.000288368,0.709271,0.354649,0.602625,-2.41504,-1.06108,-1.42471,0.479258,0.0436672,0.00465668,0.472407,0.260848,0.224104,0.638264,0.173098,0.671472,0.215058,0.508589,0.412055,0.150306,-0.251783,0.0331957,0.244581,0.148065,-7.0999,0.821067,-0.0328999,-0.144246,0.0692725,0.259638,0.68224,-0.108067,0.735627,-0.300595,-0.043382,-1.36055,0.26365,0.118859,0.00192037,0.324004,0.0489193,-0.0177426,-0.189219,0.372853,-8.91412,0.272347,-0.155835,0.240803,-0.340528,0.195139,0.654211,0.198999,-0.0195657,-0.850971,0.579143,0.583551,-0.938895,-0.39426,0.0667329,-0.0429277,0.0731243,0.340733,0.259313,-0.0121573,-0.408439,0.0976322,0.302026,-3.2624,-0.617624,-0.561789,-0.334839,0.488349,0.26867,0.663488,0.565161,0.216166,-0.461601,0.523142,0.299381,-3.58135,-0.0319248,0.240635,0.140583,0.118598,0.435886,0.250301,-0.158726,-0.0376906,0.437068,0.267914,0.791447,0.582222,0.696827,0.697899,-0.292459,-0.114219,0.37315,0.0558082,-0.101937,0.397915,0.42983,0.419319,0.323489,-11.9331,0.509846,0.0237742,0.395435,0.132159,0.0823591,0.376361,0.0475329,0.957251,0.0778627,0.948553,0.889817,-1.33647,0.326827,-0.129786,0.918396,-1.95326,-1.94444,0.58838,0.617274,-9.62368,-1.3615,0.633998,0.581599,0.529231,-2.87494,0.363674,-0.0869702,-0.130945,-0.0209423
AW 00421,0.460032,-0.704526,0.0255806,0.330919,-0.471099,0.63173,-0.628222,-1.28131,-1.19121,0.211309,0.298377,0.181128,0.247292,-0.00716431,0.320082,0.448409,-0.787021,0.128503,0.0775445,0.579246,0.0902988,0.258241,-1.39169,-0.729313,-0.00135051,0.171612,-8.04751,0.0706624,-1.1241,-0.359964,-0.209927,0.0407188,0.863679,0.235827,0.854715,0.00892258,0.817914,-0.349575,0.486431,-0.133184,0.0327213,0.209724,-0.431255,0.0241775,-1.04791,-0.100966,-9.45707,0.246228,-0.473895,-0.668364,-0.731042,0.462987,0.211701,-0.676367,0.251831,-0.372086,1.87383,0.582078,0.0606641,1.54718,-0.152001,-0.0423157,0.320967,0.369549,-0.647776,-0.100129,-0.549991,-0.710309,0.275751,-0.739899,0.154625,0.3213,-1.30414,0.294223,0.168348,-0.0171236,-0.48907,0.638164,-0.186427,0.850113,0.81041,0.366604,-0.111246,0.482672,-0.623489,0.682582,0.244356,-0.617473,0.454013,-0.50575,0.471709,0.279889,0.0682258,-0.831574,0.0283272,0.0187561,0.00395831,0.986564,0.62463,0.630617,0.416406,0.457116,0.357655,-0.217909,0.333856,-9.43772,1.26777,0.293748,-0.868827,0.467324,-0.268342,0.185318,-1.20302,0.132282,-1.02015,0.251419,0.588598,-0.944279,-0.0185102,-1.17868,0.167509,-3.77444,-3.66273,-0.773127,0.434861,-8.81234,0.373493,0.0721667,0.178461,0.227102,-0.49953,-0.255892,-0.794109,-0.0713122,0.101221
AW 00430,-1.70329,-0.940734,-0.708579,-1.03118,-0.695054,-1.37163,-0.00295903,-0.375003,-0.245675,-0.887937,-1.63699,-1.15832,-1.1511,-1.91541,-0.83919,-1.74208,-1.46986,-1.85309,-0.82713,-1.31459,-1.38174,-1.99426,-1.07193,-1.00316,-1.0435,-1.09915,-9.46597,-1.56807,-1.12471,-2.22077,-1.67467,-0.303005,0.0148948,-2.31602,-1.37981,-0.967247,-0.812403,-0.602984,-0.877244,-0.79089,-1.73025,-1.58971,-1.00164,-2.34764,-1.37889,-1.87634,-10.6724,-1.49892,-0.755932,-1.2001,-1.3031,-2.26575,-1.95792,-1.4521,-1.80792,-1.43378,-1.89002,-1.55281,-0.225287,-0.146338,-0.747652,-0.438898,-2.23357,-1.5171,-1.05815,-2.35616,-0.51543,-0.922332,-1.63468,-0.762521,-0.848692,-0.264933,-1.50233,-1.75016,-0.938694,-2.1299,-0.433061,-0.948784,-1.75125,-0.246911,0.188548,-1.95639,-1.15838,-2.06062,-0.801796,-1.12076,-1.26382,-1.06236,-1.5947,-0.784163,-1.73023,-1.52164,-0.63118,-0.747851,-1.55297,-2.33089,-1.77634,-0.0345858,0.245381,-1.45812,-0.217331,-1.59429,-1.19897,-0.936467,-0.960025,-11.4837,-1.4158,-1.55875,-1.30436,-1.11802,-0.303071,-1.53705,-0.480727,-0.927237,-1.41854,-1.75773,-0.75953,-0.917762,-1.62982,-0.95202,-1.35256,-3.05558,-3.03479,-0.679165,-1.99882,-10.1484,-1.63884,-1.77935,-1.86083,-1.7825,-1.64105,-0.060211,-1.03879,-1.76972,-1.54588
AW 00475,-5.52265,-4.96386,-8.15114,-4.57735,-3.69541,-7.84634,0.288806,-0.135265,0.182575,-4.28359,-5.7116,-4.89556,-4.55265,-4.71521,-5.00398,-4.67072,-1.82238,-4.85312,-4.96072,-4.86603,-4.64405,-5.16617,-4.4077,-5.00513,-8.86271,-4.53204,-18.8798,-10.4467,-5.24002,-8.32107,-6.66868,-3.20446,-4.65032,-5.47123,-6.80161,-4.46644,-5.99022,-3.19244,-6.29539,-3.0223,-4.8475,-4.41867,-3.69341,-8.79364,-2.71801,-4.94059,-22.5848,-14.1567,-4.53944,-2.18544,-5.51379,-8.02356,-5.5203,-1.84281,-5.23379,-4.71308,-8.00155,-6.85874,-3.95464,-11.0418,-4.72098,-4.0514,-8.87289,-3.83438,-1.66866,-5.05241,-4.73753,-6.7052,-4.28605,0.360415,0.53935,0.103711,-5.52885,-8.52734,-4.45747,-8.29355,-4.03985,-7.88519,-6.4077,-2.99588,-1.47878,-2.07794,-5.22485,-8.15396,-5.29821,-8.15508,-4.09772,-1.86573,-5.03551,-4.92971,-7.56484,-4.68998,-1.50044,-1.16538,-4.53129,-4.68575,-5.37276,-17.2288,-6.6642,-7.93207,-3.92889,-4.76577,-5.28741,-1.62452,-4.43217,-17.2686,-6.19467,-4.61212,-1.91825,-4.71943,-2.7701,-7.19678,-7.09651,-10.9447,-1.89422,-4.46249,-11.1551,-5.54063,-4.62687,-5.69935,-5.75316,-1.90591,-1.99226,-4.38314,-8.64588,-17.5826,-5.6829,-4.51091,-4.66723,-7.53239,-1.36884,-5.768,-5.76782,-8.51128,-5.28401
AW 00480,-1.55791,-0.848488,-1.89273,-1.19428,-0.463796,-1.55214,0.301896,0.311485,0.0455503,-1.12494,-2.0651,-1.37716,-0.783884,-1.46734,-1.21899,-1.15699,0.266094,-1.41193,-1.31515,-1.01825,-1.01404,-1.47855,-0.659371,-0.302296,-1.81505,-1.04536,-11.1881,-2.53633,-0.571527,-2.17539,-1.98948,-0.417324,-0.691392,-1.8874,-1.07533,-0.495169,-1.32185,0.597456,-0.660212,0.102104,-0.553669,-1.07266,-0.383918,-2.51616,-0.136641,-0.76515,-14.1973,-1.85893,-1.22566,0.131459,-0.898045,-2.47378,-1.35767,0.252279,-1.41645,-1.83133,-2.28027,-1.17458,0.167836,-0.873512,-1.17292,-0.259901,-1.98885,-0.603299,0.37874,-1.18035,-0.811161,-0.221577,-1.0056,0.278721,0.412867,0.533301,-1.3549,-1.92644,-1.01909,-2.05962,-0.385653,-1.21616,-1.5433,-0.246911,-0.0232522,-0.374288,-0.754364,-2.27632,-0.581656,-2.34762,-0.980648,0.092249,-1.3735,-0.567629,-1.67727,-1.25214,0.468084,0.394192,-1.25623,-1.51664,-1.40138,-3.04151,-2.20373,-1.90194,0.0753262,-1.2291,-1.53669,0.292524,-1.14469,-10.2841,-1.60308,-1.01735,0.0707797,-1.04941,-0.252943,-1.92569,-2.68228,-1.74006,-0.0387701,-1.26242,-2.68068,-1.96139,-1.35289,-1.61909,-1.71203,-0.617196,-0.544198,-0.72628,-2.15711,-9.47402,-1.80982,-1.43243,-1.30337,-2.21462,0.134968,-0.706334,-0.887438,-1.98381,-1.41428
AW 00519,-0.199248,1.09983,0.621692,0.939078,1.08683,-0.425039,-0.165285,-0.215228,-0.661082,0.215961,0.189508,0.473869,1.02659,0.561164,0.275898,0.873938,1.0998,0.423368,0.789075,0.588898,0.795369,0.152005,1.1869,1.29404,0.370684,0.842229,-3.22353,0.390068,1.23354,0.206213,0.323367,0.916926,1.02565,0.222377,0.414937,0.638157,0.328387,1.11029,0.549968,1.29951,0.595124,0.728167,1.37684,0.407646,1.07815,0.558993,-5.21931,1.00252,-0.0110491,0.858706,0.995853,0.570165,0.659459,1.21985,0.28905,0.386712,0.385741,0.704129,1.13702,0.0402829,0.863428,1.76495,0.403272,0.712743,1.23369,0.362427,1.09673,0.2181,0.445272,0.528562,0.208568,0.0817942,0.833168,0.562196,0.627995,0.36096,1.57,0.768483,0.333666,0.630708,0.511182,0.315274,1.40775,0.309021,0.939619,0.569733,1.0332,1.36091,0.41758,0.913308,0.789492,0.811317,1.42941,1.31089,0.644311,0.448423,0.361019,1.11322,0.763713,0.638769,1.57737,0.883824,0.472223,1.28747,0.0704985,-2.60713,0.697124,0.688768,0.993454,0.792669,1.18904,0.50521,0.666071,0.347261,0.903094,0.577677,0.445343,0.579683,0.378127,0.904842,0.219027,-2.81363,-2.66197,0.987009,0.551907,-3.1377,0.402048,1.00256,0.741664,0.40126,-0.443136,1.52859,0.969715,0.552734,0.30525
AW 00564,0.228698,0.496749,-0.377974,0.484585,0.330851,-0.161141,1.0948,-0.343186,-1.26574,-0.475744,0.248132,-0.0738716,0.180301,-0.135035,-0.114234,-0.0738513,0.495942,0.148796,0.232768,-0.0116003,-0.180152,-0.69435,0.423432,0.776075,-0.14826,-0.16563,-6.32726,-0.9106,0.783776,-0.473943,-0.291783,-0.085862,-0.00457601,-0.543083,-0.231578,0.127455,0.0596355,1.06449,-0.230205,0.716493,-0.054361,-0.0850702,0.809721,-0.275389,0.886525,-0.173887,-9.09066,-1.03035,-0.394738,0.617437,0.462155,-0.909283,0.532896,1.03892,-0.239604,-0.753725,-0.658388,0.0633186,-0.0210356,0.513289,-0.00217799,1.00477,-0.279399,-0.340007,0.84868,0.00159848,0.318649,-1.25209,-0.124643,1.2451,0.089123,-0.494014,-0.503612,-0.860127,-0.0893488,-0.568338,0.734068,-0.810967,0.426415,0.191899,0.262437,-1.0929,0.610535,-0.844185,0.425444,-0.443701,-0.49313,0.625384,0.0554236,0.552388,-0.183951,-0.068367,0.769391,1.00477,0.457967,-0.469431,-0.359226,-0.731537,0.272182,-1.01378,0.834729,0.116762,0.0523642,0.837636,-0.165265,-7.73262,-1.21971,0.0170053,0.743213,0.122617,0.502191,-0.345757,0.497305,-0.497663,0.36456,-0.30945,-0.458312,0.374461,0.114507,0.360033,-0.92012,-3.80142,-3.71803,0.266956,-0.740119,-5.63697,-1.28656,0.432485,0.180343,-0.955118,-1.09719,1.3232,0.646287,-0.41107,-0.32018
AW 00594,0.337372,-0.489998,0.142249,0.77385,-0.430038,0.761759,2.85466,-1.00547,-2.16695,-0.280528,0.419401,-0.122128,0.199527,-0.0185145,0.0784579,-0.0296568,-0.639743,0.106891,0.256312,0.642395,0.285451,-0.36829,-0.949425,0.0315999,0.139868,0.40467,-6.4737,0.56841,0.77367,0.257763,1.02492,-1.75589,-0.490482,0.229402,-0.787655,0.366718,0.0776019,1.26815,-0.021449,-0.732281,-0.483277,0.060232,0.160997,0.486978,-0.0892519,-0.925949,-5.98785,1.56586,-0.879824,-0.753961,0.544013,0.617137,-0.0464613,-0.169456,0.0632097,-2.18021,-0.23173,0.271105,-1.8442,0.73322,0.412595,0.921762,0.915938,0.137338,0.0791812,-0.961504,0.367383,-0.361659,0.159664,2.40733,-0.389974,-1.49403,-0.471267,0.806606,0.0791464,0.418776,0.538259,0.726976,0.281707,-8.95048,-5.8146,-7.28985,0.318318,0.106407,0.483512,0.644788,-0.0175986,0.0326655,0.0797529,0.606202,0.324694,-0.048007,-0.40308,-0.2108,0.494705,0.0199019,-0.278114,0.759561,0.555068,0.145031,0.132806,0.115069,0.155412,-0.416543,0.291492,-10.0918,-0.256888,-0.187996,-0.0996863,0.166881,-0.155504,0.336353,-1.02752,-1.75217,-0.249647,0.193833,-1.82115,-0.557022,-0.0267794,-0.695017,-1.86592,-2.5755,-2.50149,-0.11273,0.37424,-6.08649,-0.326379,0.723437,0.0450871,-0.11974,-13.0184,0.323775,0.141313,0.38757,0.383387
AW 00603,0.481755,0.602969,0.424644,0.626397,0.945629,1.00632,-1.57897,0.134586,-0.0593538,0.82892,0.156226,0.653157,0.941676,0.652842,0.890763,0.530045,0.685619,0.154044,0.261826,0.452587,-0.564376,0.713749,0.457681,0.297083,0.164262,0.815917,-3.79792,0.927169,1.10215,0.520286,-0.457354,0.519127,0.5008,0.540811,-0.125389,0.724133,0.934289,0.167843,0.793769,0.204731,0.436129,0.952083,0.836323,0.0389418,0.445099,0.411152,-4.10921,1.37285,-0.681346,0.0788235,1.00796,0.919505,0.18439,0.213944,0.701071,-0.3453,0.373764,-0.323075,0.202062,0.0182358,0.158543,0.886877,-0.0180939,0.799286,0.779339,0.0932294,0.530941,0.473826,-0.202647,-1.21195,0.278262,0.266639,0.924688,1.65412,0.863501,0.457689,1.20859,0.483874,-0.273643,-0.681448,-1.62907,-2.30488,0.704631,0.815278,0.643001,0.171544,0.674592,0.672238,0.17135,0.642028,1.0839,0.653103,1.1155,0.902674,0.99596,0.343379,0.0614763,0.351175,0.9004,-0.150901,0.696503,0.907354,0.307279,0.400446,0.620132,-4.29331,0.501035,0.800467,0.708017,0.385969,0.458484,0.358168,0.790976,0.565275,0.310484,0.643316,0.144125,0.486479,0.254231,0.768279,0.45167,-3.02347,-2.93439,0.789215,1.31756,-4.71646,-0.148496,0.551234,0.156481,-0.171876,-2.44774,1.10851,0.692513,0.900172,0.464194
AW 00637,0.627328,0.0585894,-0.0566386,0.0199272,0.450508,1.0298,-0.0535393,0.615496,-0.698383,0.600582,0.292696,0.646217,0.937413,1.14597,0.470918,1.30846,0.0583594,0.985774,0.832725,1.13592,0.595927,0.867758,0.250975,0.0529703,0.175258,0.787626,-1.95606,1.28281,0.0407567,0.070905,-0.0342463,0.486267,1.02565,1.04887,0.597997,0.658321,1.23571,-0.325817,0.596826,-0.256099,0.452056,1.24281,0.606836,0.792972,-0.238224,0.9599,-3.95877,1.64438,0.160043,-0.457251,0.159344,0.689362,0.650792,-0.181154,0.640357,0.278027,0.56824,0.744073,1.09444,0.303294,0.543672,0.661206,0.0158119,1.25406,0.0201872,0.273199,0.126879,0.0867131,0.983833,-0.700909,-0.114937,0.451713,0.377745,0.844964,0.657422,-0.00126808,0.687761,0.684272,-0.288602,0.95768,0.59861,0.553683,-0.169988,0.126839,0.0328042,0.204987,1.14011,0.0572033,0.768254,-0.237944,0.118045,0.895779,0.421288,0.343937,1.0269,1.34504,0.322929,0.455312,0.551571,0.398667,0.391263,0.8867,0.611953,0.00913474,1.11413,-3.67554,1.65114,1.07541,-0.066289,1.09523,0.200242,0.377106,-0.54821,0.562449,-0.167313,0.875995,0.603306,0.5777,0.818666,-0.000942394,0.847875,-3.80211,-3.76416,-0.29985,-0.00223808,-6.27729,0.104413,0.611384,0.965594,0.271691,-39.4581,-0.0836452,-0.294315,0.192074,0.747498
