"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"AW 00178","-1.12401","0.149242","-18.0383","0.345803","-1.76435","0.536391","-4.79487","-0.243353","-6.74995","0.184715","-3.92332","0.592359","-0.765899","0.511115","-1.80545","0.676463","-4.22922","0.518447","-21.2435","-3.86412","-16.1103","-0.672209","-0.748292","0.395918","-0.600438","-0.445935","-0.359887","-0.56186","-16.5157","-2.31008","-3.90328","0.213872","-2.47041","0.90561","-18.0168","0.303158","-3.19288","-0.0613386","0.148493"
"AW 00227","-1.00209","0.482779","-18.7663","0.64088","-5.16213","0.770434","-4.97755","-0.0454109","-13.473","0.66698","-8.09542","0.958058","-1.2698","0.897962","-4.42558","1.23118","-7.97697","1.01022","-31.9279","-45.775","-36.2992","-1.2336","-1.62953","0.648252","-0.576289","-1.29664","0.215116","-0.682962","-21.8227","-1.2639","-6.06445","0.444764","-4.88164","0.90561","-19.3549","1.15643","-7.17729","0.293502","0.365501"
"AW 00264","-0.102843","0.445788","-16.3465","0.17516","-0.364536","0.856578","-4.28658","-0.10176","-0.447125","0.583925","-0.720014","0.462382","-0.121656","0.744987","-0.135774","0.825135","-0.523857","0.514433","-17.3256","1.4862","0.407856","-0.3302","-0.445481","0.869639","0.295056","-0.229993","0.602708","0.231775","-8.12246","0.198342","-1.08353","0.53895","-2.07081","0.635929","-15.7183","0.850823","-1.02591","0.555557","0.247029"
"AW 00294","-0.338229","0.223224","-15.3029","0.512898","-0.78615","0.61034","-4.05252","-0.139806","-3.35913","0.380303","-1.1926","0.667537","-0.377546","0.592011","-1.04651","0.459057","-1.51344","0.31692","-31.7417","-46.0722","-35.6874","-0.61354","-0.582152","0.553033","0.481006","0.359492","0.237471","0.518747","-11.2416","-0.805025","-2.11794","0.316562","-2.68393","0.381497","-15.2883","0.694347","-2.84337","0.317479","0.322054"
"AW 00751","-0.0571983","0.269617","-15.4178","0.017843","-0.325108","0.376297","-4.16266","-0.395537","-0.728679","0.259737","-0.819855","0.247038","-0.240489","0.286061","-0.423879","0.56776","-0.75568","0.294739","-12.8031","-0.29724","-1.01964","-0.124043","-0.134634","0.553033","0.10334","0.576752","0.211785","0.656072","-8.17082","-0.0105501","-0.938279","0.205368","-0.284043","0.523963","-14.4218","0.386292","-0.152139","0.486931","0.128295"
"AW 00786","0.28933","0.399395","-13.9742","0.260481","0.114325","0.844382","-3.62073","-0.139806","0.785801","0.421831","0.194092","0.602548","0.0855293","0.672908","-0.0494089","0.825135","0.258396","0.589002","-10.846","0.59448","0","0.0186872","0.0407006","0.869639","0.755816","0.573495","0.247784","0.394667","-6.31286","0.198342","0.0807389","0.479102","0.526325","0.793644","-13.1083","0.618557","0.546881","0.5271","0.265071"
"AW 00837","0.122925","0.269617","-13.662","0.112943","0.0595771","0.61034","-3.82577","-0.48078","-0.197419","0.338776","0.189225","0.387205","0.0281377","0.511115","-0.109985","0.825135","0.0986944","0.343114","-11.2606","-0.29724","-0.815712","-0.0114503","0.0173451","0.648252","-0.479248","0.849749","0.517305","1.23035","-7.1321","-0.09445","0.352854","0.316562","0.139395","0.651178","-12.8917","0.54032","0.0226159","0.475218","0.193606"
"AW 00846","-0.864996","-0.0639194","-16.4101","-0.300338","-0.692256","0.130059","-4.10443","-0.566024","-4.77115","-0.181001","-1.85234","-0.0332938","-0.660172","-0.100787","-0.419108","0.161713","-3.49726","0.097226","-31.8154","-47.2612","-36.2992","-0.372764","-0.440872","0.11026","-0.514993","0.75701","-0.313863","0.722089","-23.2301","-3.89902","-2.55503","0.0941745","-1.15019","-0.157865","-13.7468","-0.229817","-1.23562","0.0777485","-0.0229295"
"AW 01237","0.0565956","0.186233","-10.5407","0.512898","-0.291768","0.770434","-2.43286","0.068727","-0.840949","0.463359","-0.563831","0.592359","-0.0507653","0.430218","-0.130539","0.825135","-0.304026","0.589002","-13.0887","-1.78344","-0.815712","-0.429048","-0.319532","0.11026","-0.83008","-0.679172","-0.00244386","0.0308581","-6.64811","-1.09782","-1.10788","0.24821","-1.16797","0.381497","-11.2193","0.537871","-1.09582","0.0635757","0.255095"
"BR 00076","-5.9152","-6.39171","-25.6071","-6.67201","-7.71971","-11.6551","-6.73021","-5.4721","-29.8585","-9.30252","-20.6505","-10.1151","-6.23463","-11.0797","-16.9327","-20.2796","-13.9712","-8.80312","-32.0183","-47.5584","-35.8913","-7.42804","-10.8639","-18.3291","-2.05078","-1.70914","-1.14117","-1.9497","-28.7797","-43.2392","-20.8791","-8.90403","-36.3457","-21.6051","-26.083","-5.68421","-29.4411","-9.54109","-4.34343"
