"","Alg12-18h","Alg12-20h","Alg12-22h","ARP6-18","ARP6-20","But18","But24","CHRA18","CHRA24","cin2-18","Cin2_16hrs","Cin2_18hrs","Cin2_20hrs","Cin2_22hrs","CIN8-18","CIN8-20","CLA4-18","CLA4-20","CLA4-22","CNB1","CTF4-16","CTF4-18","CTF4-20","CTF4-22","DEP1-18","DUN1-18","ESC1-18","Gas1","GAS1-42h","Gim3-18","GIM5-18","GIM5-20","GIM5-22","HOC1-18","KRE1-18","Leo18h","Leo24h","LGE1-19","MRC1-18","MT1448","MT1448sspH-24","MT1448sspH-45","MT1448sspH-48","MT2481","MT2481-24hours","MT2481-Camptothecin","MT2481-Cantharidin","MT2481-cyclosporine","MT2481-Fenbendazole","NUM1-18","Pac10-18","Peu18","POL32-18","PPH21","Ric1-27h","Rot2-18","SAP30-18","shm2-21","SLT2-18","SLT2-20","SLT2-22","Smi1","Swe1-18","TEP1","TOP1","WT-CAMP","WT-Ciclosporin","WT-Fen","YHR087W-18","Ypt6-27h"
"AW 00215","-5.57639","-5.73984","-2.70777","-8.89612","-21.0288","-5.85556","-13.9461","-4.68029","-14.4643","-4.06947","-5.41651","-4.14965","-3.75105","-2.26099","-11.1191","-3.52639","-5.51791","-8.78037","-5.99679","-14.6669","-6.38662","-7.47603","-13.0749","-8.46054","-7.13316","-0.542388","-5.09677","-7.95706","-6.48415","-3.11358","-6.14159","-8.56443","-1.85532","-5.20706","-3.4709","-4.48156","-12.7494","-5.60889","-5.02312","-8.25314","-0.0735719","-0.0686796","-0.164235","-12.6884","-1.82736","-22.7766","-4.07566","-9.12514","-10.8777","-0.414831","-3.8103","-7.38371","-2.14701","-5.82902","-10.8824","-5.42775","-4.00336","-6.43388","-10.5915","-29.9347","-41.9087","-4.59123","-5.92729","-3.63838","-7.68878","-5.28066","-6.79832","-6.80041","-6.31635","-12.3062"
"AW 00436","-10.8242","-12.0104","-3.21143","-10.7393","-27.2619","-6.86549","-23.4214","-5.46242","-20.183","-8.20494","-5.30191","-8.34372","-3.29819","-1.90453","-7.08947","-3.7174","-7.2491","-12.922","-5.35801","-17.4795","-7.44231","-8.6055","-16.3963","-16.307","-4.9133","-0.495217","-5.85195","-7.60453","-5.33565","-0.882575","-4.07079","-6.90389","-1.97995","-10.9108","-6.00066","-5.68742","-22.0854","-5.28963","-4.74092","-7.45832","-0.0557608","-0.0394336","-0.0926501","-16.9696","0.0866101","-23.3408","-6.83675","-14.3009","-3.34034","-1.33906","-6.51282","-9.52331","-1.32931","-7.78176","-13.9653","-7.01887","-3.24245","-8.82991","-10.7109","-29.3953","-40.0743","-2.17823","-6.32048","-3.39798","-4.85568","-5.60974","-7.83563","-9.16976","-11.395","-15.8575"
"AW 00625","-33.0286","-48.7499","-52.5361","-16.9725","-45.9288","-8.16138","-35.1404","-5.67572","-21.7676","-40.6387","-26.5212","-41.2727","-55.2256","-56.0929","-41.4431","-59.9781","-23.0158","-49.8651","-55.3955","-54.5703","-9.48476","-11.1647","-25.2764","-38.1515","0.249102","1.12652","0.910377","-10.993","-44.8156","0.200152","-28.3747","-44.7274","-57.0559","0.204953","2.35031","-6.14508","-27.6589","-0.374484","-0.138855","-43.8892","-0.285076","-0.377812","-0.527391","-28.1481","-35.2264","-24.7506","-60.1074","-50.964","-16.8871","-1.00879","1.33739","-12.7946","0.914351","-49.4806","-18.1348","-3.28262","0.628084","-0.0888429","-11.9621","-33.9259","-49.3901","-61.1227","-0.30343","-43.6631","-13.7834","-50.6892","-46.7127","-43.7759","-2.13099","-20.5337"
"AW 00698","-1.34338","-0.727527","0.0684153","-1.09102","-0.791007","-1.68958","-1.61312","-1.45359","-1.05297","0.667617","0.824218","0.660366","-0.454498","0.877874","-0.103744","-0.829915","-1.00169","-1.45914","-0.0839369","-0.438898","-1.07545","-0.782819","-0.979701","-1.26366","-1.98068","-0.558896","-0.835839","-2.45224","-4.02856","-0.773034","-1.11099","-1.72863","-0.0913513","-1.00182","-1.3481","-0.968743","-2.10007","-1.6335","-0.986789","-0.618756","0.0402046","0.0565522","0.219898","-0.179809","-0.0257597","-5.82971","0.0318533","0.0850192","-1.24977","-0.922818","-0.230382","-1.3041","-0.0132363","-0.465372","-1.32109","-0.831791","-3.07634","-0.784905","-1.65701","-1.00408","-1.33384","0.227381","-1.79192","0.792495","-0.55485","-0.421691","-1.18504","-0.389805","-0.8172","-1.56922"
"AW 00801","-7.0768","-5.27837","0.300655","-8.28995","-16.648","-7.99962","-34.6957","-5.63656","-21.7551","-4.3223","-3.81991","-4.40569","0.146025","0.201123","-3.84083","-1.17502","-4.30111","-5.71658","-3.78056","-6.03266","-7.49506","-8.23121","-13.363","-10.09","-1.9836","-2.31301","-1.30868","-6.83368","-4.36636","-1.048","-2.06323","-2.68616","-0.990266","-2.36409","-1.3967","-6.11865","-27.5849","-1.64896","-1.9933","-2.08499","-0.0417428","-0.0407396","0.102135","-23.9409","-0.793034","-20.2576","-5.4721","-42.5529","-13.6968","-2.06275","-2.12629","-12.5307","-0.795437","-1.09342","-7.20506","-2.27113","-4.00572","-2.49969","-7.41837","-15.6389","-11.4585","-0.687696","-2.14936","-0.931797","-2.49211","-1.06493","-2.96968","-2.75949","-4.18565","-6.87594"
"AW 00819","0.544798","1.07837","1.50993","0.257687","0.601122","-2.06395","-1.24238","-2.42311","-2.73365","2.11395","1.62941","2.12731","0.794949","1.33663","0.663571","0.417342","-0.488041","1.77684","1.25784","0.129545","-0.385137","-0.287015","0.603296","0.410826","0.61239","0.523205","0.43076","-0.172257","-0.391407","1.02317","-0.252639","0.226144","1.3458","0.034435","0.592599","-2.75963","-4.77605","0.253332","0.473386","-0.31198","-0.0145316","-0.00509042","0.409487","0.147661","-0.170316","-0.582906","-0.565109","-0.360768","0.181868","-1.19054","-0.00402401","-3.56781","0.523379","-0.111059","-0.108841","1.24492","-2.84638","1.04886","-0.552101","0.808431","0.494889","1.31481","0.164192","1.15164","0.360005","-0.401229","-0.968803","0.23821","0.300773","0.142145"
"AW 00844","-3.83982","-1.80619","-0.978519","-8.52925","-18.3498","-4.82713","-11.6775","-4.34548","-12.3034","-3.37743","-2.83042","-3.44789","-0.230412","-0.455948","-2.37874","-1.88929","-4.63","-5.46325","-4.9811","-2.78137","-5.25875","-6.21182","-8.31832","-4.3881","-3.52372","-3.41421","-0.341181","-3.53364","-5.01278","-2.36954","-3.44924","-4.80584","-1.64848","-1.3278","-0.383182","-4.38661","-14.8662","-2.6673","-3.3347","-3.44945","-0.0347878","-0.0797806","-0.113681","-2.62317","-0.791399","-15.0384","-1.59335","-2.65729","-6.13447","-0.348615","-1.46669","-5.63885","-1.8489","-1.96102","-5.21088","-2.08991","-2.23833","-1.13277","-6.96757","-15.1646","-11.7798","-1.77855","-1.14507","-2.18181","-5.30861","-2.03483","-3.22911","-2.9078","0.256374","-4.47273"
"AW 00891","-0.467158","-0.120494","0.522204","-0.0176479","-0.835026","1.20659","0.00431952","1.22667","-0.474348","-0.332744","0.0193781","-0.356398","-2.13821","-1.61646","0.277107","-0.360409","-0.895305","0.0865061","0.574945","-0.909293","-0.666838","-1.41923","-0.684543","-0.586666","0.305169","-0.589674","-0.237203","2.29575","0.346536","0.51941","0.149857","-0.372868","-2.08204","-1.13472","-0.510569","0.560734","-1.73293","0.687772","-1.02177","-1.0945","-0.0330857","-0.0969016","0.00428987","0.294714","-1.40086","0.105797","0.0945534","-0.941845","0.177513","0.876687","-0.965223","0.558281","-0.0725521","-1.8019","-1.21315","-0.491812","0.213684","-1.54865","-0.0742397","-0.771795","-1.85645","-0.821837","-0.312029","-0.486749","-0.918384","-0.945465","0.23972","-0.833573","1.2068","-0.597111"
"AW 00925","0.480404","-0.189106","0.0265604","0.767715","0.448378","0.67111","-0.242981","0.343639","0.0225492","0.877819","0.453801","0.873787","0.174617","0.492291","-1.79004","-0.945687","-0.0601836","-0.565567","0.0814034","-1.8101","0.749417","0.590107","-0.115306","0.799113","-0.104758","2.26112","0.449664","0.584068","-0.6733","1.08178","0.604009","0.61672","0.669629","1.16951","-0.876158","0.99842","-0.371102","0.65293","0.413053","-1.78568","-0.0455993","-0.0762675","-0.188783","-0.520052","-1.55685","-0.59219","-2.89437","-0.448168","0.559131","0.572248","1.12832","0.528865","1.43296","-0.956625","0.0452555","-0.187137","1.0875","-0.263404","0.634892","0.0552074","-0.685497","-1.46031","-0.0455819","0.0305205","1.09245","-0.929","-0.158222","-0.0248528","-0.340148","0.13537"
"AW 00962","0.0869672","-0.43017","-0.00730455","0.494447","0.0642955","-1.10918","-1.38854","-0.686588","-0.533981","0.898347","1.13722","0.89431","0.0444481","0.562719","0.0110179","-0.0616633","-0.168192","0.0375901","0.311922","0.0213025","0.175686","0.323119","0.127637","0.734283","-0.0385405","1.51522","-0.292413","-0.285984","-1.05736","0.701924","-0.236134","0.10373","0.981491","0.390232","-0.573793","-0.0526971","-0.880902","-0.301004","0.00183931","-0.404557","0.0132219","0.0350255","0.233764","0.25499","-0.522913","-1.3269","-1.55725","0.919432","-14.9556","0.92311","0.626703","-1.02233","0.642007","-0.335209","0.417622","0.319526","0.890868","-1.02631","0.333708","0.268277","0.0849044","0.529301","-0.162113","0.880716","0.807994","-1.08693","-0.340348","-0.0455006","-1.0487","0.170849"
