,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00001,0.732413,0.221284,0.0849815,-0.211792,-0.13939,-0.0450137,0.550431,0.801284,-0.00714656,0.357618,0.198537,0.814529,1.1007,0.493118,-0.149826,0.932676,0.371865,0.0712312,0.238047,-0.0121994,0.249403,0.305419,0.480443,0.280651,-0.558886,0.220701,0.0521715
LOPAC 00002,0.705473,-0.0351828,0.33474,0.303567,-0.400156,-0.0908033,-0.247765,0.88233,0.0596962,-0.222444,0.131281,-0.0360708,0.345408,0.487528,1.63563,0.221394,-0.491283,0.647627,0.192421,-0.241956,-0.0902087,0.299929,0.234108,0.0892314,0.220007,-0.148303,-0.011082
LOPAC 00003,0.23361,-0.210824,-0.114355,-0.0462251,-0.415888,4.75875,0.0577895,-0.347403,-0.377475,0.370729,-0.143459,0.327611,1.60673,0.0106066,0.117298,0.32702,0.256629,-0.138267,0.700719,-0.205687,0.112932,-0.286015,0.468061,0.0198885,1.04203,1.0413,0.155461
LOPAC 00004,0.385341,-1.39905,-0.118353,0.202398,-0.894724,-0.437176,0.227016,0.297492,0.73762,0.424484,-0.358366,-0.0866356,-0.314142,-0.112234,0.602012,-0.135249,-1.00032,-0.323696,0.413917,0.119114,-0.781129,-0.36229,0.562957,-0.513483,-0.413851,1.01146,-0.37947
LOPAC 00005,0.423622,-0.321983,0.947489,-0.0375286,-0.034362,0.223495,1.98899,0.788423,0.988727,0.528207,0.488144,0.257782,-0.0513296,-0.221784,1.64038,0.736844,-0.336975,-0.435111,0.434909,1.29856,0.134876,0.606176,0.060937,0.193482,-2.455,-0.569138,0.596248
LOPAC 00006,-1.11525,-0.599295,-0.24882,-0.228069,-0.508428,0.101592,0.745707,-0.906224,0.435394,-1.17244,-0.461978,-1.69561,0.269092,-0.0659268,-0.231603,-0.383277,-0.657655,-1.11326,-0.630515,0.222796,0.529691,-0.569917,-0.0887017,-0.502269,-1.92003,-1.70289,-0.206974
LOPAC 00007,0.00712549,-0.661784,-0.212448,-0.319823,0.200492,3.82725,-0.113027,-0.170343,-0.224221,0.588945,2.13514,0.0779768,0.884266,-0.566363,-0.0705478,0.0732878,0.18144,0.183261,0.255377,0.138232,-0.820509,-0.38691,-0.384871,0.1761,-0.0742732,0.86355,0.153346
LOPAC 00008,1.11922,0.643557,-0.617777,-0.495936,-0.564049,0.265371,-0.365312,0.238707,-0.0827022,0.55157,0.845941,0.852073,1.30855,0.756125,0.348018,1.59269,-0.344985,0.204463,0.132706,-0.126555,-0.114306,3.82048,0.558909,0.292206,0.168949,-0.0438013,0.362595
LOPAC 00009,1.30017,0.271504,0.413756,-0.742539,1.95683,0.532844,0.303803,0.0889678,0.101747,0.936504,-0.226491,0.191383,0.330001,0.466684,0.353698,1.37669,0.67593,2.34626,-0.195366,0.233679,-0.193381,-0.167198,-0.591032,-0.12958,2.33013,1.09656,0.269514
LOPAC 00010,0.258574,0.762825,0.00108885,1.01775,-0.529348,0.23112,0.170777,0.237342,0.0280649,0.32533,0.16282,-0.666157,0.27997,0.230508,0.557211,0.00209249,0.174602,-0.751895,1.31354,0.925282,0.888502,0.282654,1.07664,0.163052,-0.288744,0.32096,-0.437052
LOPAC 00011,0.72023,-0.089404,0.363668,0.202031,-0.349326,0.716665,-0.0066623,0.332783,-0.498651,-0.116145,-0.0746908,-0.695383,0.670075,0.76299,0.411539,-0.232809,0.62395,0.341442,0.390566,-0.0936606,1.24474,0.824768,2.17333,0.0368444,1.03665,0.0363411,0.81507
LOPAC 00012,0.258359,-0.420394,-0.258377,0.411972,-0.219064,1.09022,0.352358,0.844372,0.337429,0.872009,1.68686,-0.042868,1.62103,1.0967,1.45061,1.19157,-0.433427,2.93378,1.41067,0.150849,-0.00421643,1.2786,0.927707,0.121658,-0.388568,1.33799,0.126973
LOPAC 00013,0.51599,1.8099,0.714933,0.683473,-0.183085,0.665991,0.104127,0.153616,0.581267,0.361339,-1.82744,0.673268,-0.0781336,0.622545,0.0287083,1.65648,0.066016,-0.271345,0.183281,0.0104234,0.313353,0.520533,0.118061,-0.242276,-0.398323,-0.915418,0.239902
LOPAC 00014,0.809196,0.774154,0.217196,0.119129,0.118642,0.755023,0.363899,0.328468,0.517214,0.398173,-0.293071,0.606301,0.0103426,-0.0937283,-0.302198,0.999324,0.465971,1.07447,0.0640149,0.253416,-0.6744,-0.596228,0.519273,-0.415486,0.343498,-0.0959767,0.255525
LOPAC 00015,0.502402,-0.826938,-0.613268,-0.305018,-9.75255,0.324254,0.61574,0.049473,0.325076,0.550165,-0.135913,0.0960303,0.244236,-0.646731,-0.110022,1.94544,-0.866587,0.309244,-1.11298,0.0755512,-0.383084,-0.773415,-0.020176,-0.540304,-0.687877,0.039153,-1.53751
LOPAC 00016,-1.87958,-0.401971,-0.557171,2.05766,1.41896,-0.498986,-0.0782669,0.79443,0.651816,-0.570095,-0.885152,-0.919537,-1.26087,-0.746685,-1.25912,-1.31025,0.0969273,-1.26971,1.83906,0.316055,-0.678814,-0.229713,0.480028,-0.198987,-1.61703,0.770392,-0.114585
LOPAC 00017,-0.0374645,0.759853,-0.0341563,0.369572,-0.405548,-0.555666,-0.210916,0.536751,0.0782917,-0.0818148,-1.14115,0.592714,-1.52204,-0.629012,0.120221,-0.578992,1.00503,-0.536662,0.315544,-0.276117,1.17845,-0.193607,0.781057,0.400614,-0.437585,-0.169663,-0.095707
LOPAC 00018,0.0405073,-0.104422,0.562425,-0.12209,0.2057,-0.318052,0.821781,0.589235,-0.189129,0.219414,0.571874,0.259905,0.493021,-0.184377,-0.358407,-0.36135,0.55404,1.49375,-0.126692,0.822665,0.248857,-0.0859989,0.264863,0.264497,0.767861,0.349217,-0.393578
LOPAC 00019,-0.792339,0.33702,0.814661,1.3565,1.43071,-0.125929,0.214245,0.169254,0.309497,-0.0710193,-0.0516678,0.199776,-0.763337,0.42756,-0.0333336,-1.18894,0.505472,0.456975,1.38931,0.985763,-0.184223,0.555413,0.815101,-0.45534,0.413313,0.494878,-0.318872
LOPAC 00020,-1.69803,-1.20618,-0.757602,2.05333,1.60219,0.231465,-0.170192,-1.18462,0.668577,-1.10779,-0.819265,-1.70847,-0.618316,0.0599213,0.469335,-1.15913,-0.121775,-1.14478,1.56257,0.0841216,-1.00206,-0.612993,0.838595,-0.65118,-1.95722,0.443638,-0.474799
LOPAC 00021,0.927682,-0.290925,-0.90149,-1.05289,-5.97139,0.554165,-0.198263,0.444092,0.17657,0.0807376,0.523454,0.771605,0.743333,0.667399,1.02014,1.70844,-0.63252,-0.0789984,0.520821,0.519833,0.516153,0.337276,-0.141268,0.24216,-0.504482,-0.139879,0.826772
LOPAC 00022,0.275695,-0.726045,-0.714089,-1.5057,-0.306341,0.0638133,0.0738639,0.172312,-0.067239,0.300174,-0.221224,0.125132,0.240318,-0.924262,0.251813,2.68574,0.274431,0.263022,-0.0376218,0.180074,-0.561945,-1.1052,-0.111773,-0.0480593,-0.10866,-0.163764,-0.113913
LOPAC 00023,0.415503,-0.0861585,-0.165942,-0.284855,-0.262094,0.12029,-0.0483565,-0.487722,0.253287,0.0873308,-0.233047,-0.795162,0.496242,-0.0611781,-0.0505972,0.787485,-0.861506,-0.374198,0.240826,-0.0233368,-0.494234,0.564741,-1.09332,-0.3702,-0.208515,-0.349829,-0.729102
LOPAC 00024,-0.35164,-0.483577,-0.463466,-1.3101,0.0793178,0.140204,0.110566,-0.404173,0.110349,0.380888,0.386395,0.819457,-1.14006,-1.3472,0.500366,1.46968,-0.932731,-0.416022,-0.39835,-0.731426,-1.56001,-1.74641,-1.30361,-0.837671,0.00257113,0.297205,-0.682855
