Strain,ORF
CLN2_EDCT,YPL256C
HOG1_EDCT,YLR113W
IRE1_EDCT,YHR079C
MKK1_EDCT,YOR231W
SLT2_EDCT,YHR030C
BCK1_EDCT,YJL095W
TOR1_EDCT,YJR066W
NPR1_EDCT,YNL183C
KSP1_EDCT,YHR082C
FMP48_EDCT,YGR052W
TOR2_EDCT,YKL203C
RIO1_EDCT,YOR119C
RIO2_EDCT,YNL207W
CLN2_ED_FODCT,YPL256C
HOG1_ED_FODCT,YLR113W
IRE1_ED_FODCT,YHR079C
MKK1_ED_FODCT,YOR231W
SLT2_ED_FODCT,YHR030C
BCK1_ED_FODCT,YJL095W
TOR1_ED_FODCT,YJR066W
NPR1_ED_FODCT,YNL183C
KSP1_ED_FODCT,YHR082C
FMP48_ED_FODCT,YGR052W
TOR2_ED_FODCT,YKL203C
RIO2_ED_FODCT,YNL207W
TOP1,YOL006C
CNB1,YKL190W
TEP1,YNL128W
Gas1,YMR307W
Smi1,YGR229C
GAS1,YMR307W
Ypt6,YLR262C
Ric1,YLR039C
PPH21,YDL134C
Leo18h,YOR123C
Cin2_16hrs,YPL241C
Cin2_18hrs,YPL241C
Cin2_20hrs,YPL241C
Cin2_22hrs,YPL241C
Alg12,YNR030W
ARP6-18,YLR085C
ARP6-20,YLR085C
CIN8-18,YEL061C
CIN8-20,YEL061C
CLA4-18,YNL298W
CLA4-20,YNL298W
CLA4-22,YNL298W
CTF4-16,YPR135W
CTF4-18,YPR135W
CTF4-20,YPR135W
CTF4-22,YPR135W
GIM5-18,YML094W
GIM5-20,YML094W
GIM5-22,YML094W
SLT2-18,YHR030C
SLT2-20,YHR030C
SLT2-22,YHR030C
KRE1-18,YNL322C
POL32-18,YJR043C
DEP1-18,YAL013W
ESC1-18,YMR219W
HOC1-18,YJR075W
LGE1-19,YPL055C
MRC1-18,YCL061C
NUM1-18,YDR150W
SAP30-18,YMR263W
DUN1-18,YDL101C
Rot2-18,YBR229C
Gim3-18,YNL153C
Pac10-18,YGR078C
Swe1-18,YJL187C
shm2-21,YLR058C
cin2-18,YPL241C
CLN2_EDBA,YPL256C
HOG1_EDBA,YLR113W
IRE1_EDBA,YHR079C
MKK1_EDBA,YOR231W
SLT2_EDBA,YHR030C
BCK1_EDBA,YJL095W
TOR1_EDBA,YJR066W
NPR1_EDBA,YNL183C
KSP1_EDBA,YHR082C
FMP48_EDBA,YGR052W
TOR2_EDBA,YKL203C
RIO1_EDBA,YOR119C
CLN2_FODBA,YPL256C
HOG1_FODBA,YLR113W
IRE1_FODBA,YHR079C
MKK1_FODBA,YOR231W
SLT2_FODBA,YHR030C
BCK1_FODBA,YJL095W
TOR1_FODBA,YJR066W
NPR1_FODBA,YNL183C
KSP1_FODBA,YHR082C
FMP48_FODBA,YGR052W
TOR2_FODBA,YKL203C
RIO1_FODBA,YOR119C
RIO2_FODBA,YNL207W
Tor1_GFP_BA,YJR066W
Tor2_GF_BA,YKL203C
HRR25_he_BA,YPL204W
RAD53_he_BA,YPL153C
CDC28_he_BA,YBR160W
PHO85_he_BA,YPL031C
SNF1_he_BA,YDR477W
KSS1_he_BA,YGR040W
ELM1_BA,YKL048C
DBF2_BA,YGR092W
MCK1_BA,YNL307C
HSL1_BA,YKL101W
FAB1_BA,YFR019W
YCK3_BA,YER123W
PFK27_BA,YOL136C
DAK1_BA,YML070W
PRR2_BA,YDL214C
GLC7_BA,YER133W
FAR1_BA,YJL157C
YNK1_BA,YKL067W
CKI1_BA,YLR133W
PFK2_BA,YMR205C
ARK1_BA,YNL020C
CKA2_BA,YOR061W
Tor1_GFP_F_BA,YJR066W
Tor2_GFP_F_BA,YKL203C
HRR25_het_F_BA,YPL204W
RAD53_het_F_BA,YPL153C
CDC28_het_F_BA,YBR160W
PHO85_het_F_BA,YPL031C
KSS1_het_F_BA,YGR040W
SNF1_het_F_BA,YDR477W
ELM1_F_BA,YKL048C
DBF2_F_BA,YGR092W
MCK1_F_BA,YNL307C
HSL1_F_BA,YKL101W
FAB1_F_BA,YFR019W
PFK27_F_BA,YOL136C
DAK1_F_BA,YML070W
PRR2_F_BA,YDL214C
GLC7_F_BA,YER133W
FAR1_F_BA,YJL157C
YNK1_F_BA,YKL067W
CKI1_F_BA,YLR133W
PFK2_F_BA,YMR205C
ARK1_F_BA,YNL020C
CAK1_FO12_5,YFL029C
CDC14_FO12_5,YFR028C
AVO1_FO12_5,YOL078W
CDC15_FO12_5,YAR019C
SDS22_FO12_5,YKL193C
CDC5_FO12_5,YMR001C
FCP1_FO12_5,YMR277W
SSU72_FO12_5,YNL222W
CBK1_FO12_5,YNL161W
SCD5_FO12_5,YOR329C
CCL1_FO12_5,YPR025C
IPL1_FO12_5,YPL209C
LST8_FO12_5,YNL006W
PKC1_FO12_5,YBL105C
CKS1_FO12_5,YBR135W
MEC1_FO12_5,YBR136W
CDC28_FO12_5,YBR160W
CDC7_FO12_5,YDL017W
MPS1_FO12_5,YDL028C
DBF4_FO12_5,YDR052C
KIN28_FO12_5,YDL108W
YPI1_FO12_5,YFR003C
SLN1_FO12_5,YIL147C
PBS2_FO12_5,YJL128C
ADK1_FO12_5,YDR226W
DUN1_FO12_5,YDL101C
cdc4_FO12_5,YFL009W
ISR1_FO12_5,YPR106W
DBF20_FO12_5,YPR111W
cdc34_FO12_5,YDR054C
cdc53_FO12_5,YDL132W
SCH9_S12_9,YHR205W
ILV3_S12_9,YJR016C
SFP1_S12_9,YLR403W
SFP1_F12_9,YLR403W
SCH9_F12_9,YHR205W
ILV3_F12_9,YJR016C
CLN2_ED,YPL256C
MKK1_ED,YOR231W
HOG1_ED,YLR113W
SLT2_ED,YHR030C
IRE1_ED,YHR079C
BCK1_ED,YJL095W
SLT2_FINOD,YHR030C
HOG1_FINOD,YLR113W
CLN2_FINOD,YPL256C
BCK1_FINOD,YJL095W
MKK1_FINOD,YOR231W
TOR1_S12_9,YJR066W
NPR1_S12_9,YNL183C
