compound_id,library,smiles,num_active_strains,percent_active,is_selective
SPE01501007,Spectrum,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,49,48.0,True
SPE00211425,Spectrum,Br.CC(N)Cc1ccc(O)cc1,50,49.0,True
SPE01500534,Spectrum,Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,51,50.0,True
SPE01500332,Spectrum,Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,52,51.0,True
SPE01500680,Spectrum,Br.COC(=O)C1=CCCN(C)C1,50,49.0,True
SPE01501014,Spectrum,Br.COc1c2c(cc3c1OCO3)CCN(C)C2,52,51.0,True
SPE01500233,Spectrum,Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,51,50.0,True
SPE01501202,Spectrum,Br.COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,51,50.0,True
SPE01503393,Spectrum,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,49,48.0,True
SPE02300347,Spectrum,C1CCc2nnnn2CC1,51,50.0,True
SPE01503204,Spectrum,C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1,50,49.0,True
SPE01500490,Spectrum,C1CNCCN1,51,50.0,True
SPE01500394,Spectrum,C1N2CN3CN1CN(C2)C3,49,48.0,True
SPE01504180,Spectrum,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,50,49.0,True
SPE00201281,Spectrum,C=CC(C1=CC(=O)C=CC1=O)c1ccccc1,48,47.1,True
SPE01503620,Spectrum,C=CCc1ccc2c(c1)OCO2,50,49.0,True
SPE01501107,Spectrum,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,49,48.0,True
SPE01502101,Spectrum,C=C(C)C1CC=C(C(=O)O)CC1,51,50.0,True
SPE00501100,Spectrum,C=C(C)C1CCC(C)(O)C2CC3OC3(C)C2C1,50,49.0,True
SPE01504081,Spectrum,C=C(C)C1CCC2(C(=O)O)CCC3C(CCC4C3(C)CCC3C(C)(C)C(O)CCC34C)C12,51,50.0,True
SPE01500815,Spectrum,C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,51,50.0,True
SPE02300228,Spectrum,C=C(C)C1CNC(C(=O)O)C1CC(=O)O,51,50.0,True
