strain_raw,strain_cleaned,library,row,col,value,strain_mean,strain_std,z_score,reason
clminus,clminus,Lopac,H,12,1363.843,2142.1757,1182.5528,-0.66,Extreme reading
clminus,clminus,Lopac,H,11,1263.452,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,H,10,1077.846,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,H,9,1168.494,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,H,8,1054.407,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,H,7,1235.159,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,H,6,1146.429,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,H,5,1259.302,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,H,4,1175.911,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,H,3,1278.63,2142.1757,1182.5528,-0.73,Extreme reading
clminus,clminus,Lopac,H,2,1087.91,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,H,1,1035.931,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,G,12,1320.224,2142.1757,1182.5528,-0.7,Extreme reading
clminus,clminus,Lopac,G,11,1139.368,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,G,10,1217.133,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,G,9,1085.577,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,G,8,1076.176,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,G,7,1221.033,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,G,6,1238.577,2142.1757,1182.5528,-0.76,Extreme reading
clminus,clminus,Lopac,G,5,1209.653,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,G,4,1132.7,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,G,3,1310.93,2142.1757,1182.5528,-0.7,Extreme reading
clminus,clminus,Lopac,G,2,1148.731,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,G,1,1109.369,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,F,12,1253.858,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,F,11,1271.825,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,F,10,596.288,2142.1757,1182.5528,-1.31,Extreme reading
clminus,clminus,Lopac,F,9,1122.101,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,F,8,1112.577,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,F,7,1303.083,2142.1757,1182.5528,-0.71,Extreme reading
clminus,clminus,Lopac,F,6,1208.74,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,F,5,1216.445,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,F,4,1259.8,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,F,3,1093.05,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,F,2,1200.924,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,F,1,1063.076,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,E,12,1142.964,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,E,11,1215.128,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,E,10,1201.132,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,E,9,1234.682,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,E,8,946.729,2142.1757,1182.5528,-1.01,Extreme reading
clminus,clminus,Lopac,E,7,1395.855,2142.1757,1182.5528,-0.63,Extreme reading
clminus,clminus,Lopac,E,6,1168.73,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,E,5,1234.596,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,E,4,1199.679,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,E,3,1158.276,2142.1757,1182.5528,-0.83,Extreme reading
clminus,clminus,Lopac,E,2,1083.354,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,E,1,1014.322,2142.1757,1182.5528,-0.95,Extreme reading
clminus,clminus,Lopac,D,12,1229.499,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,D,11,1235.292,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,D,10,1280.612,2142.1757,1182.5528,-0.73,Extreme reading
clminus,clminus,Lopac,D,9,1167.084,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,D,8,1366.32,2142.1757,1182.5528,-0.66,Extreme reading
clminus,clminus,Lopac,D,7,1286.468,2142.1757,1182.5528,-0.72,Extreme reading
clminus,clminus,Lopac,D,6,1289.906,2142.1757,1182.5528,-0.72,Extreme reading
clminus,clminus,Lopac,D,5,1259.54,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,D,4,1130.148,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,D,3,1126.503,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,D,2,1098.257,2142.1757,1182.5528,-0.88,Extreme reading
clminus,clminus,Lopac,D,1,959.024,2142.1757,1182.5528,-1.0,Extreme reading
clminus,clminus,Lopac,C,12,1305.374,2142.1757,1182.5528,-0.71,Extreme reading
clminus,clminus,Lopac,C,11,1199.976,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,C,10,1168.922,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,C,9,1179.363,2142.1757,1182.5528,-0.81,Extreme reading
clminus,clminus,Lopac,C,8,1236.29,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,C,7,1273.469,2142.1757,1182.5528,-0.73,Extreme reading
clminus,clminus,Lopac,C,6,1113.199,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,C,5,1272.996,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,C,4,1198.512,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,C,3,1353.657,2142.1757,1182.5528,-0.67,Extreme reading
clminus,clminus,Lopac,C,2,993.799,2142.1757,1182.5528,-0.97,Extreme reading
clminus,clminus,Lopac,C,1,1056.366,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,B,12,1261.175,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,B,11,1222.941,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,B,10,1210.149,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,B,9,1265.119,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,B,8,1222.826,2142.1757,1182.5528,-0.78,Extreme reading
