strain_task,test_roc_auc
WT,0.523
MT,0.5683
MCM,0.548
WTScer1448_EDCT,0.4939
WTSpom1645_EDCT,0.7615
pdryCG196_EDCT,0.556
pdryCG200_EDCT,0.7844
CLN2_EDCT,0.3333
HOG1_EDCT,0.5381
IRE1_EDCT,0.5495
MKK1_EDCT,0.7867
SLT2_EDCT,0.488
BCK1_EDCT,0.617
TOR1_EDCT,0.6068
NPR1_EDCT,0.6343
KSP1_EDCT,0.6093
FMP48_EDCT,0.5455
TOR2_EDCT,0.5573
RIO1_EDCT,0.6576
RIO2_EDCT,0.6316
NNK1_EDCT,0.5928
WTScer1450_ED_FICT,0.5467
WTScer1448_ED_FODCT,0.7778
WTSpom1645_ED_FODCT,0.6667
pdryCG196_ED_FODCT,0.6921
pdryCG200_ED_FODCT,0.6444
CLN2_ED_FODCT,
HOG1_ED_FODCT,0.8679
IRE1_ED_FODCT,0.7949
MKK1_ED_FODCT,0.8241
SLT2_ED_FODCT,0.4553
BCK1_ED_FODCT,0.7037
TOR1_ED_FODCT,0.9815
NPR1_ED_FODCT,0.6067
KSP1_ED_FODCT,0.8173
FMP48_ED_FODCT,0.4627
TOR2_ED_FODCT,0.0741
RIO2_ED_FODCT,0.2222
NNK1_ED_FODCT,0.6605
BW25113_Ecoli_FO12_5,0.7825
MG1655_Ecoli_FO12_5,0.7159
WT_het_dip_FO12_5,0.9259
WT_mata_FO12_5,0.5481
Sc_mata2uM_S12_9,0.725
Sc_hetdip2uM_S12_9,0.566
BW25113_Ecoli_S12_5,0.5959
MG1655_Ecoli_S12_5,0.3441
Sc_hdip2uM_F12_9,
Sc_mata2uM_F12_9,0.8039
BW25113_F27_9,0.7
MG1655_F27_9,0.6378
n3B1wG418_F,0.6139
n3B1noG418_F,0.6286
n3B1wG418_S,
n3B1noG418_S,0.6148
MT1181-1st,
MT2221-1st,
MT1448,0.5802
TOP1,0.6875
CNB1,0.5741
TEP1,0.5
Gas1,0.5867
Smi1,0.5625
GAS1,0.7731
Ypt6,0.5923
Ric1,0.6753
MT2481,0.5804
MT2481-24hours,0.6
PPH21,0.4727
MT2481-Camptothecin,0.6786
MT2481-Cantharidin,0.5779
MT2481-cyclosporine,0.4667
MT2481-Fenbendazole,0.7105
WT-Ciclosporin,0.4741
WT-CAMP,0.5238
WT-Fen,0.4412
But18,0.575
But24,0.5119
